"Date","Price","Open","High","Low","Change %"
"Jun 14, 2018","8,336.49","8,316.65","8,375.12","8,302.54","0.25%"
"Jun 13, 2018","8,316.00","8,295.10","8,327.64","8,271.88","0.22%"
"Jun 12, 2018","8,297.77","8,325.18","8,332.00","8,283.82","-0.31%"
"Jun 11, 2018","8,323.20","8,321.01","8,341.08","8,286.93","0.03%"
"Jun 08, 2018","8,320.64","8,294.16","8,345.35","8,289.56","0.38%"
"Jun 07, 2018","8,289.02","8,283.90","8,335.04","8,277.46","0.04%"
"Jun 06, 2018","8,285.76","8,308.98","8,323.57","8,275.03","-0.27%"
"Jun 05, 2018","8,307.78","8,279.81","8,336.16","8,264.34","0.31%"
"Jun 04, 2018","8,282.14","8,305.80","8,318.45","8,276.83","-0.25%"
"Jun 01, 2018","8,302.51","8,326.39","8,346.90","8,277.60","-0.20%"
"May 31, 2018","8,318.97","8,352.38","8,373.50","8,318.97","-0.42%"
"May 30, 2018","8,354.20","8,336.72","8,374.86","8,324.16","0.22%"
"May 29, 2018","8,335.53","8,310.83","8,392.00","8,304.24","0.34%"
"May 28, 2018","8,306.90","8,301.00","8,320.83","8,282.20","-0.15%"
"May 25, 2018","8,319.57","8,318.61","8,358.53","8,300.76","-0.04%"
"May 24, 2018","8,322.89","8,269.17","8,339.48","8,262.84","0.70%"
"May 23, 2018","8,265.12","8,223.00","8,294.86","8,221.99","0.52%"
"May 22, 2018","8,222.48","8,252.25","8,258.69","8,212.04","-0.36%"
"May 21, 2018","8,251.80","8,234.36","8,257.22","8,192.55","0.07%"
"May 18, 2018","8,246.16","8,222.94","8,263.75","8,209.08","0.32%"
"May 17, 2018","8,220.00","8,228.68","8,240.53","8,193.74","-0.07%"
"May 16, 2018","8,225.77","8,232.86","8,263.21","8,206.07","-0.07%"
"May 15, 2018","8,231.54","8,321.53","8,344.92","8,218.59","-1.09%"
"May 14, 2018","8,322.30","8,355.10","8,384.17","8,322.30","-0.33%"
"May 11, 2018","8,349.64","8,385.06","8,399.30","8,347.93","-0.48%"
"May 10, 2018","8,389.81","8,350.01","8,398.08","8,343.78","0.45%"
"May 09, 2018","8,352.34","8,376.88","8,394.01","8,323.32","-0.26%"
"May 08, 2018","8,374.07","8,361.69","8,397.06","8,320.74","0.08%"
"May 07, 2018","8,367.79","8,365.73","8,392.44","8,343.58","0.01%"
"May 04, 2018","8,367.27","8,340.73","8,370.51","8,322.91","0.37%"
"May 03, 2018","8,336.63","8,304.47","8,375.33","8,303.46","0.42%"
"May 02, 2018","8,302.01","8,261.92","8,358.94","8,261.92","0.53%"
"May 01, 2018","8,258.40","8,331.85","8,338.95","8,245.16","-0.87%"
"Apr 30, 2018","8,330.47","8,377.65","8,393.67","8,299.82","-0.56%"
"Apr 27, 2018","8,377.59","8,347.77","8,398.56","8,338.22","0.37%"
"Apr 26, 2018","8,346.32","8,365.69","8,392.80","8,335.49","-0.31%"
"Apr 25, 2018","8,372.18","8,388.39","8,402.77","8,342.98","-0.24%"
"Apr 24, 2018","8,391.93","8,370.59","8,406.82","8,349.12","0.26%"
"Apr 23, 2018","8,370.09","8,409.93","8,413.25","8,352.90","-0.43%"
"Apr 20, 2018","8,406.55","8,451.12","8,461.61","8,406.13","-0.50%"
"Apr 19, 2018","8,449.16","8,466.76","8,499.39","8,421.73","-0.20%"
"Apr 18, 2018","8,466.17","8,465.81","8,509.30","8,441.01","0.02%"
"Apr 17, 2018","8,464.39","8,447.16","8,473.45","8,409.62","0.20%"
"Apr 16, 2018","8,447.64","8,435.59","8,478.89","8,408.00","0.06%"
"Apr 13, 2018","8,442.76","8,400.58","8,455.56","8,389.92","0.49%"
"Apr 12, 2018","8,401.51","8,480.53","8,501.68","8,392.58","-0.97%"
"Apr 11, 2018","8,483.75","8,419.32","8,560.93","8,417.68","0.76%"
"Apr 10, 2018","8,419.87","8,431.56","8,445.43","8,388.89","-0.09%"
"Apr 09, 2018","8,427.70","8,409.49","8,441.00","8,378.47","0.26%"
"Apr 06, 2018","8,406.07","8,363.12","8,421.12","8,332.10","0.50%"
"Apr 05, 2018","8,364.16","8,404.95","8,419.26","8,340.52","-0.51%"
"Apr 04, 2018","8,407.01","8,381.81","8,498.90","8,374.08","0.28%"
"Apr 03, 2018","8,383.33","8,419.95","8,439.77","8,360.17","-0.49%"
"Apr 02, 2018","8,424.28","8,321.34","8,448.83","8,313.18","1.01%"
"Apr 01, 2018","8,340.06","8,336.04","8,341.83","8,323.19","0.30%"
"Mar 30, 2018","8,314.77","8,328.28","8,331.85","8,302.47","-0.23%"
"Mar 29, 2018","8,333.99","8,347.09","8,380.27","8,315.26","-0.13%"
"Mar 28, 2018","8,344.47","8,453.19","8,463.30","8,335.90","-1.24%"
"Mar 27, 2018","8,448.95","8,491.21","8,498.57","8,419.58","-0.49%"
"Mar 26, 2018","8,490.80","8,513.28","8,533.79","8,456.14","-0.49%"
"Mar 25, 2018","8,533.02","8,508.87","8,533.02","8,501.86","0.28%"
"Mar 23, 2018","8,509.08","8,421.74","8,532.18","8,421.74","1.07%"
"Mar 22, 2018","8,418.93","8,424.54","8,444.01","8,393.16","-0.06%"
"Mar 21, 2018","8,423.61","8,308.30","8,453.88","8,300.13","1.42%"
"Mar 20, 2018","8,305.27","8,337.06","8,347.57","8,279.65","-0.41%"
"Mar 19, 2018","8,339.16","8,321.35","8,358.97","8,288.29","0.16%"
"Mar 18, 2018","8,326.01","8,322.61","8,326.01","8,314.64","0.02%"
"Mar 16, 2018","8,324.19","8,330.99","8,370.75","8,299.00","0.03%"
"Mar 15, 2018","8,321.50","8,364.67","8,384.75","8,313.84","-0.60%"
"Mar 14, 2018","8,371.35","8,385.62","8,405.25","8,350.39","-0.16%"
"Mar 13, 2018","8,385.00","8,374.30","8,399.35","8,336.41","0.12%"
"Mar 12, 2018","8,374.88","8,380.98","8,387.98","8,324.36","0.03%"
"Mar 11, 2018","8,372.53","8,384.47","8,389.57","8,372.53","-0.12%"
"Mar 09, 2018","8,382.43","8,381.68","8,391.60","8,320.94","-0.03%"
"Mar 08, 2018","8,384.90","8,389.97","8,422.13","8,369.30","-0.00%"
"Mar 07, 2018","8,384.95","8,425.44","8,463.61","8,364.22","-0.43%"
"Mar 06, 2018","8,421.56","8,383.61","8,448.05","8,375.47","0.45%"
"Mar 05, 2018","8,384.14","8,398.84","8,420.89","8,366.03","-0.29%"
"Mar 04, 2018","8,408.16","8,395.99","8,408.16","8,365.71","0.22%"
"Mar 02, 2018","8,389.92","8,375.36","8,410.91","8,349.65","0.19%"
"Mar 01, 2018","8,373.91","8,344.48","8,401.17","8,282.69","0.34%"
"Feb 28, 2018","8,345.66","8,329.83","8,370.24","8,316.31","0.19%"
"Feb 27, 2018","8,329.47","8,413.05","8,436.08","8,298.19","-1.09%"
"Feb 26, 2018","8,421.67","8,415.35","8,473.35","8,401.53","-0.08%"
"Feb 25, 2018","8,428.37","8,426.13","8,428.37","8,426.13","0.08%"
"Feb 23, 2018","8,421.83","8,453.77","8,461.58","8,408.33","-0.43%"
"Feb 22, 2018","8,458.01","8,408.20","8,461.63","8,395.38","0.58%"
"Feb 21, 2018","8,408.85","8,443.31","8,485.05","8,396.30","-0.37%"
"Feb 20, 2018","8,439.90","8,551.30","8,560.62","8,433.81","-1.28%"
"Feb 19, 2018","8,549.02","8,554.17","8,578.52","8,544.58","-0.13%"
"Feb 18, 2018","8,560.29","8,549.80","8,560.29","8,544.95","0.05%"
"Feb 16, 2018","8,556.39","8,588.49","8,645.14","8,536.92","-0.41%"
"Feb 15, 2018","8,591.50","8,574.42","8,617.43","8,561.81","0.22%"
"Feb 14, 2018","8,572.70","8,430.06","8,607.40","8,368.97","1.69%"
"Feb 13, 2018","8,430.01","8,368.71","8,448.07","8,363.72","0.73%"
"Feb 12, 2018","8,368.75","8,286.00","8,393.86","8,280.14","1.03%"
"Feb 11, 2018","8,283.39","8,277.10","8,283.39","8,264.05","-0.09%"
"Feb 09, 2018","8,290.72","8,335.67","8,364.88","8,257.67","-0.66%"
"Feb 08, 2018","8,345.60","8,268.67","8,367.48","8,241.80","0.91%"
"Feb 07, 2018","8,270.60","8,330.53","8,356.98","8,227.75","-0.62%"
"Feb 06, 2018","8,322.55","8,416.58","8,481.59","8,296.16","-1.22%"
"Feb 05, 2018","8,425.15","8,399.25","8,440.28","8,380.17","0.14%"
"Feb 04, 2018","8,413.61","8,403.02","8,413.61","8,381.43","0.17%"
"Feb 02, 2018","8,399.70","8,492.67","8,505.64","8,363.36","-1.15%"
"Feb 01, 2018","8,497.45","8,452.86","8,513.76","8,422.93","0.46%"
"Jan 31, 2018","8,458.75","8,465.49","8,501.77","8,381.46","-0.08%"
"Jan 30, 2018","8,465.94","8,497.45","8,528.69","8,448.24","-0.34%"
"Jan 29, 2018","8,494.69","8,538.51","8,554.88","8,477.90","-0.51%"
