"Date","Price","Open","High","Low","Change %"
"Nov 05, 2018","6.9257","6.8902","6.9309","6.8902","0.51%"
"Nov 02, 2018","6.8907","6.9108","6.9328","6.8689","-0.47%"
"Nov 01, 2018","6.9234","6.9685","6.9723","6.9216","-0.75%"
"Oct 31, 2018","6.9756","6.9680","6.9783","6.9638","0.12%"
"Oct 30, 2018","6.9672","6.9615","6.9720","6.9592","0.08%"
"Oct 29, 2018","6.9619","6.9402","6.9629","6.9401","0.26%"
"Oct 26, 2018","6.9435","6.9535","6.9652","6.9351","-0.08%"
"Oct 25, 2018","6.9489","6.9443","6.9527","6.9422","0.07%"
"Oct 24, 2018","6.9440","6.9405","6.9456","6.9369","0.08%"
"Oct 23, 2018","6.9383","6.9454","6.9455","6.9357","-0.13%"
"Oct 22, 2018","6.9474","6.9319","6.9478","6.9319","0.26%"
"Oct 19, 2018","6.9297","6.9402","6.9422","6.9267","-0.11%"
"Oct 18, 2018","6.9376","6.9349","6.9429","6.9340","0.15%"
"Oct 17, 2018","6.9275","6.9115","6.9298","6.9114","0.22%"
"Oct 16, 2018","6.9120","6.9153","6.9277","6.9071","-0.07%"
"Oct 15, 2018","6.9168","6.9232","6.9336","6.9164","-0.08%"
"Oct 12, 2018","6.9225","6.8914","6.9322","6.8914","0.47%"
"Oct 11, 2018","6.8899","6.9243","6.9350","6.8899","-0.50%"
"Oct 10, 2018","6.9242","6.9227","6.9258","6.9169","0.02%"
"Oct 09, 2018","6.9227","6.9300","6.9300","6.9082","-0.12%"
"Oct 08, 2018","6.9307","6.9040","6.9338","6.8947","0.90%"
"Oct 05, 2018","6.8689","6.8689","6.8689","6.8689","0.00%"
"Oct 04, 2018","6.8689","6.8689","6.8689","6.8689","0.00%"
"Oct 03, 2018","6.8689","6.8689","6.8689","6.8689","0.00%"
"Oct 02, 2018","6.8689","6.8689","6.8689","6.8689","0.00%"
"Oct 01, 2018","6.8689","6.8689","6.8689","6.8689","0.00%"
"Sep 28, 2018","6.8689","6.8872","6.8905","6.8678","-0.31%"
"Sep 27, 2018","6.8902","6.8788","6.8933","6.8700","0.17%"
"Sep 26, 2018","6.8786","6.8748","6.8803","6.8708","0.18%"
"Sep 25, 2018","6.8665","6.8608","6.8842","6.8605","0.14%"
"Sep 24, 2018","6.8571","6.8571","6.8571","6.8571","0.00%"
"Sep 21, 2018","6.8571","6.8357","6.8604","6.8337","0.15%"
"Sep 20, 2018","6.8468","6.8515","6.8583","6.8403","-0.02%"
"Sep 19, 2018","6.8483","6.8653","6.8676","6.8473","-0.19%"
"Sep 18, 2018","6.8616","6.8552","6.8807","6.8552","0.07%"
"Sep 17, 2018","6.8570","6.8695","6.8781","6.8558","-0.17%"
"Sep 14, 2018","6.8690","6.8447","6.8690","6.8447","0.35%"
"Sep 13, 2018","6.8448","6.8368","6.8541","6.8282","-0.23%"
"Sep 12, 2018","6.8606","6.8736","6.8826","6.8606","-0.18%"
"Sep 11, 2018","6.8730","6.8656","6.8791","6.8582","0.25%"
"Sep 10, 2018","6.8556","6.8479","6.8667","6.8479","0.17%"
"Sep 07, 2018","6.8438","6.8332","6.8498","6.8265","0.12%"
"Sep 06, 2018","6.8355","6.8298","6.8424","6.8239","0.07%"
"Sep 05, 2018","6.8305","6.8303","6.8469","6.8292","-0.20%"
"Sep 04, 2018","6.8442","6.8240","6.8453","6.8061","0.31%"
"Sep 03, 2018","6.8228","6.8434","6.8469","6.8174","-0.13%"
"Aug 31, 2018","6.8315","6.8472","6.8485","6.8230","-0.19%"
"Aug 30, 2018","6.8445","6.8216","6.8446","6.8216","0.34%"
"Aug 29, 2018","6.8213","6.8012","6.8299","6.8012","0.27%"
"Aug 28, 2018","6.8030","6.8134","6.8214","6.7984","-0.18%"
"Aug 27, 2018","6.8156","6.8168","6.8266","6.8064","0.13%"
"Aug 24, 2018","6.8070","6.8755","6.8947","6.8070","-1.03%"
"Aug 23, 2018","6.8777","6.8559","6.8799","6.8557","0.52%"
"Aug 22, 2018","6.8418","6.8388","6.8490","6.8388","-0.08%"
"Aug 21, 2018","6.8472","6.8382","6.8523","6.8338","-0.15%"
"Aug 20, 2018","6.8578","6.8625","6.8693","6.8467","-0.29%"
"Aug 17, 2018","6.8775","6.8687","6.8967","6.8687","-0.07%"
"Aug 16, 2018","6.8825","6.9227","6.9227","6.8816","-0.75%"
"Aug 15, 2018","6.9348","6.8921","6.9348","6.8877","0.74%"
"Aug 14, 2018","6.8842","6.8872","6.8972","6.8799","-0.10%"
"Aug 13, 2018","6.8913","6.8762","6.8914","6.8700","0.64%"
"Aug 10, 2018","6.8472","6.8360","6.8609","6.8308","0.38%"
"Aug 09, 2018","6.8210","6.8276","6.8381","6.8130","-0.22%"
